E(keV),mu_adipose(cm^-1),mu_blood(cm^-1),mu_bone(cm^-1),mu_brain(cm^-1),mu_soft_tissue(cm^-1),mu_water(cm^-1)
117,0.153193,0.171011,0.326337,0.168409,0.170887,0.162575
118,0.152814,0.170553,0.324793,0.167961,0.170434,0.162146
119,0.152439,0.170101,0.32327,0.167517,0.169987,0.161721
120,0.152068,0.169654,0.321767,0.167078,0.169544,0.161302
121,0.151701,0.169212,0.320283,0.166644,0.169106,0.160886
122,0.151337,0.168774,0.318818,0.166215,0.168672,0.160475
123,0.150978,0.168341,0.317372,0.16579,0.168244,0.160069
124,0.150622,0.167913,0.315944,0.16537,0.16782,0.159667
125,0.150271,0.167489,0.314533,0.164954,0.1674,0.159269
126,0.149922,0.16707,0.31314,0.164543,0.166985,0.158875
127,0.149578,0.166655,0.311765,0.164135,0.166574,0.158486
128,0.149236,0.166244,0.310406,0.163732,0.166167,0.1581
129,0.148898,0.165837,0.309063,0.163334,0.165765,0.157718
130,0.148564,0.165435,0.307737,0.162939,0.165366,0.157341
131,0.148233,0.165037,0.306426,0.162548,0.164972,0.156967
132,0.147905,0.164642,0.305131,0.162161,0.164581,0.156596
133,0.14758,0.164252,0.303851,0.161778,0.164194,0.156229
134,0.147259,0.163865,0.302586,0.161398,0.163811,0.155866
135,0.14694,0.163482,0.301335,0.161023,0.163432,0.155507
136,0.146625,0.163103,0.300099,0.160651,0.163057,0.155151
137,0.146312,0.162728,0.298877,0.160282,0.162685,0.154798
138,0.146003,0.162356,0.297669,0.159917,0.162316,0.154449
139,0.145696,0.161987,0.296474,0.159556,0.161951,0.154103
140,0.145392,0.161622,0.295292,0.159198,0.16159,0.15376
141,0.145091,0.161261,0.294124,0.158843,0.161232,0.153421
142,0.144793,0.160903,0.292969,0.158491,0.160877,0.153084
143,0.144497,0.160548,0.291826,0.158143,0.160526,0.152751
144,0.144204,0.160196,0.290695,0.157798,0.160177,0.15242
145,0.143914,0.159848,0.289577,0.157456,0.159832,0.152093
146,0.143626,0.159503,0.28847,0.157117,0.15949,0.151769
147,0.143341,0.15916,0.287376,0.156782,0.159151,0.151447
148,0.143058,0.158821,0.286293,0.156449,0.158815,0.151129
149,0.142778,0.158485,0.285221,0.156119,0.158482,0.150813
150,0.1425,0.158152,0.28416,0.155792,0.158152,0.1505
151,0.142197,0.157809,0.283355,0.155455,0.157809,0.150174
152,0.141897,0.157468,0.282558,0.155121,0.157468,0.14985
153,0.141599,0.157131,0.281769,0.15479,0.157131,0.14953
154,0.141304,0.156796,0.280986,0.154462,0.156796,0.149212
155,0.141012,0.156465,0.280211,0.154137,0.156465,0.148896
156,0.140722,0.156136,0.279443,0.153814,0.156136,0.148584
157,0.140434,0.15581,0.278682,0.153494,0.15581,0.148274
158,0.140149,0.155487,0.277928,0.153177,0.155487,0.147967
159,0.139866,0.155166,0.277181,0.152863,0.155166,0.147662
160,0.139585,0.154848,0.27644,0.152551,0.154848,0.14736
161,0.139307,0.154533,0.275706,0.152242,0.154533,0.14706
162,0.139031,0.15422,0.274978,0.151935,0.15422,0.146763
163,0.138758,0.15391,0.274257,0.151631,0.15391,0.146469
164,0.138486,0.153602,0.273542,0.151329,0.153602,0.146176
165,0.138217,0.153297,0.272833,0.15103,0.153297,0.145886
166,0.13795,0.152995,0.27213,0.150733,0.152995,0.145598
167,0.137685,0.152694,0.271434,0.150438,0.152694,0.145313
168,0.137422,0.152396,0.270743,0.150146,0.152396,0.14503
169,0.137161,0.152101,0.270058,0.149856,0.152101,0.144749
170,0.136902,0.151808,0.269379,0.149568,0.151808,0.14447
